Bagian;Proses Bisnis;Sistem;;;Status Implementasi;Catatan;Status Pengembangan;;
Manajemen Informasi SDM;Manajemen Dossir Pegawai;;Simpedos;;;;Pembangunan;;
Manajemen Informasi SDM;Layanan Permintaan Dossir;;Nadine;;;;Backlog;;
Mutasi dan Kepangkatan;Mutasi dan Promosi;Mutasi Promosi;;;Belum Implementasi;;Pengembangan;Modul Mutasi Promosi;Masuk ke DAMS, ada pengembangan pembobotan (?)
Mutasi dan Kepangkatan;Mutasi dan Promosi;Kemenkeu Individual Career Plan (KICP);;;;;Pembangunan;Modul KICP;
Mutasi dan Kepangkatan;Mutasi dan Promosi;Monitoring dan Evaluasi Pengembangan Karir;;;;;N/A;;
Mutasi dan Kepangkatan;Mutasi dan Promosi;Mutasi Promosi Antar Unit Eselon I;;;;;N/A;;
Mutasi dan Kepangkatan;Seleksi JPT Madya;;Aplikasi Seleksi JPT Madya Kemenkeu;;Implementasi;;Finished;;
Mutasi dan Kepangkatan;Administrasi Internal Job Vacancy;;Internal Job Vacancy;;Implementasi;;Finished;;
Mutasi dan Kepangkatan;Administrasi Internal Job Vacancy;;Aplikasi Verifikasi Berkas IJV;;Implementasi;;Finished;;
Mutasi dan Kepangkatan;Penugasan;Dashboard Penugasan;;;;;Pembangunan;Dashboard Penugasan;
Pengembangan SDM;Penugasan;Monitoring Kepala Perwakilan dan Sekretariat Perwakilan;;;;;N/A;;
Pengembangan SDM;Penugasan;Dashboard Non Eselon;;;Implementasi;;;;
Pengembangan SDM;Manajemen Talenta;Manajemen Talenta;;;Belum Implementasi;;Pengembangan;;
Pengembangan SDM;Kenaikan Pangkat;SK Kenaikan Pangkat;;;Implementasi;;Backlog;Modul KP;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Cuti;Cuti;;;Implementasi;;Finished;Modul Cuti;
Penghargaan, Penegakan Disiplin, Pensiun dan Regulasi;Izin Luar Negeri;Izin Luar Negeri;;;Implementasi;;;;
